Seq#,ID#,Gender,M,R,F,FirstPurch,ChildBks,YouthBks,CookBks,DoItYBks,RefBks,ArtBks,GeogBks,ItalCook,ItalAtlas,ItalArt,Florence
2998,24822,0,37,12,1,12,0,0,0,0,0,3,0,0,0,0,0
1174,9834,1,153,16,10,36,2,0,4,0,2,1,1,0,0,0,0
2184,18039,1,71,34,2,40,1,0,0,1,0,0,0,0,0,0,0
1501,12478,1,269,10,1,10,0,0,0,0,0,0,2,0,0,0,0
578,5233,1,351,36,4,50,1,1,0,0,0,2,0,0,0,0,0
3034,25134,0,219,32,9,84,0,1,1,3,1,0,0,0,0,0,0
470,4248,0,190,10,1,10,0,0,0,0,0,0,0,0,0,0,0
1060,8818,0,326,2,4,18,0,1,0,0,0,0,0,0,0,0,0
2713,22465,0,185,6,6,18,0,1,0,2,0,0,2,0,0,0,0
1729,14259,0,253,2,2,10,0,0,0,0,0,0,0,0,0,0,0
251,2203,1,173,20,2,28,0,0,1,1,0,0,0,0,0,0,0
1607,13309,1,136,12,5,30,0,0,2,1,0,0,0,0,1,0,0
2813,23299,1,272,10,11,70,2,2,1,2,1,0,2,1,0,1,0
2062,17075,0,272,30,2,36,0,0,1,0,0,0,0,0,0,0,0
3262,26855,0,201,22,10,76,1,1,1,2,0,1,0,0,0,0,0
3207,26430,1,219,28,2,34,0,0,0,2,0,1,0,0,0,0,0
125,1087,1,60,34,1,34,0,0,0,0,1,0,0,0,0,0,0
140,1160,1,64,32,1,32,0,0,0,0,0,0,1,0,0,0,0
3700,30763,1,113,10,2,14,0,0,1,0,0,0,0,0,0,0,0
1774,14607,1,100,10,1,10,0,0,0,0,0,2,0,0,0,0,0
3684,30601,0,167,32,2,34,1,0,0,0,0,2,0,0,0,0,0
953,7865,1,198,12,6,34,2,0,1,1,0,0,1,0,0,0,0
413,3689,1,268,10,1,10,0,0,0,0,0,0,0,0,0,0,0
2434,20028,1,112,22,2,28,0,0,0,0,0,0,0,0,0,0,0
3880,32007,0,140,8,7,22,2,0,1,0,0,0,1,0,0,0,1
1318,10960,0,67,10,1,10,0,0,0,0,0,0,0,0,0,0,0
977,8022,1,197,2,1,2,0,0,0,0,0,0,0,0,0,0,0
1374,11487,1,156,12,1,12,0,0,0,0,0,0,0,0,0,0,0
3962,32661,0,88,4,2,8,0,0,0,0,0,1,0,0,0,0,0
786,6713,0,124,2,4,22,0,0,1,1,0,0,0,0,0,0,0
369,3233,1,206,16,2,24,0,0,0,0,0,1,1,0,0,0,0
971,7992,1,197,16,12,60,3,2,1,0,2,1,3,0,2,0,0
2575,21272,0,71,16,2,20,1,0,0,0,0,0,0,0,0,0,1
2579,21324,1,278,12,2,16,1,0,0,0,0,0,2,1,0,0,1
2778,23004,0,250,10,2,18,1,0,0,0,0,1,0,0,0,0,0
3993,32928,1,208,32,1,32,1,0,0,0,0,0,1,0,0,0,0
1927,15967,1,132,4,1,4,0,0,0,0,0,0,1,0,0,0,0
2395,19634,0,235,12,1,12,0,0,0,0,0,0,1,0,0,0,0
749,6428,1,225,34,1,34,0,0,1,0,0,0,0,0,0,0,0
2118,17489,1,212,10,6,22,1,0,0,0,2,0,1,0,0,0,0
46,354,0,49,22,3,32,0,0,1,1,0,1,0,0,0,0,0
3541,29431,1,84,2,2,6,0,0,0,0,0,0,0,0,0,0,0
2018,16696,0,166,2,4,24,0,0,0,0,0,1,1,0,0,0,0
1320,10964,1,175,14,11,68,2,3,3,2,1,0,0,0,0,0,0
1406,11720,1,267,16,2,20,1,0,0,0,0,1,0,0,0,0,0
3892,32107,1,65,36,2,42,1,0,0,0,0,0,0,1,0,0,0
2343,19244,1,318,20,2,24,1,0,0,1,0,1,1,0,0,0,0
2927,24159,1,233,10,1,10,0,0,0,0,0,0,0,0,0,0,0
715,6222,0,275,10,4,18,2,1,0,0,0,0,0,0,0,0,0
3756,31171,1,327,12,3,28,1,0,1,0,0,0,0,0,0,0,1
3716,30899,1,233,12,1,12,0,0,0,0,0,2,0,0,0,0,0
1890,15633,0,125,4,7,20,0,0,1,2,0,0,0,0,0,0,0
156,1300,1,200,4,9,30,2,2,1,0,2,0,0,0,0,0,0
427,3771,1,217,6,1,6,0,0,0,0,0,0,0,0,0,0,0
492,4469,1,105,12,7,26,3,0,2,1,0,0,0,0,0,0,0
1314,10952,1,202,4,12,72,1,1,0,1,2,2,0,0,0,0,1
615,5570,1,93,14,3,28,1,0,0,0,1,1,0,0,0,0,0
1795,14823,1,239,4,10,32,2,0,3,2,1,0,0,0,0,0,0
2825,23369,1,317,8,3,14,0,0,1,0,0,0,1,0,0,0,1
1268,10653,1,152,16,1,16,0,0,0,0,0,0,1,0,0,0,0
3530,29325,1,197,16,1,16,0,0,0,0,0,0,0,0,0,0,0
3647,30293,0,88,4,2,10,0,0,0,0,0,0,0,1,0,0,0
3658,30392,1,26,10,1,10,0,0,0,0,0,0,0,1,0,0,0
976,8019,1,136,10,2,12,0,0,0,0,0,0,0,0,0,0,1
3731,31036,1,250,14,2,16,0,0,0,0,1,0,0,0,0,0,0
1923,15917,1,109,6,1,6,0,0,0,0,0,0,0,0,0,0,0
1756,14459,1,206,8,1,8,0,0,0,0,0,1,2,0,0,0,0
2475,20364,0,146,26,2,32,0,0,1,1,0,0,0,1,0,0,0
1800,14838,1,170,14,2,16,0,0,0,1,0,0,0,0,0,0,0
970,7981,1,277,14,11,68,1,1,1,1,2,0,4,0,0,0,0
87,708,0,277,30,11,78,2,0,1,1,2,2,3,0,0,0,1
2885,23818,1,216,16,1,16,0,0,1,0,0,1,1,0,0,0,0
2712,22460,1,245,28,10,54,4,0,3,0,2,0,0,0,0,0,0
1162,9739,1,185,14,5,42,0,1,2,0,0,0,1,1,0,0,0
1064,8903,1,280,10,1,10,0,0,0,0,0,0,0,0,0,0,0
127,1093,1,263,12,8,58,1,1,3,0,0,1,1,0,0,0,0
2177,17959,1,266,14,1,14,0,0,1,0,0,0,0,0,0,0,1
3413,28221,0,253,6,1,6,0,0,0,0,0,1,2,0,0,0,1
734,6317,1,234,8,8,40,0,2,0,0,0,3,2,0,0,0,1
765,6589,0,58,4,1,4,0,0,0,0,0,0,0,0,0,0,0
2081,17206,0,299,14,1,14,0,0,1,0,0,0,0,0,0,0,0
1618,13397,0,100,16,1,16,1,0,0,0,0,0,0,0,0,0,0
78,619,1,49,10,2,14,0,0,0,1,0,0,0,0,0,0,0
686,6058,1,139,10,1,10,0,0,0,0,0,0,0,0,0,0,0
1093,9162,1,321,2,7,34,2,1,1,0,0,2,0,1,0,2,0
622,5632,1,75,16,1,16,0,0,0,0,0,0,1,0,0,0,1
133,1123,1,363,2,12,28,0,1,2,1,0,1,1,1,0,0,0
1979,16390,1,165,12,10,66,2,0,2,2,0,0,0,0,0,0,0
3703,30787,1,99,14,3,30,1,1,1,0,0,0,0,0,0,0,0
3850,31767,1,208,22,2,24,2,0,0,0,0,0,1,0,0,0,0
3501,29065,1,317,22,2,30,0,0,0,0,1,1,1,0,0,0,0
2893,23866,1,256,8,1,8,0,0,0,0,0,1,0,0,0,0,0
2068,17121,1,45,6,2,12,0,0,0,0,0,0,0,0,0,0,0
1842,15173,0,137,8,1,8,0,0,0,0,0,0,0,0,0,0,0
3456,28672,1,126,30,1,30,0,0,0,1,0,3,0,0,0,0,0
2078,17195,0,30,12,2,16,0,0,1,0,0,0,0,0,0,0,0
731,6307,1,211,34,8,70,1,0,3,1,2,1,0,0,0,0,0
2306,18962,0,258,8,1,8,0,0,0,0,0,0,0,0,0,0,0
3384,27968,1,54,18,2,22,0,0,1,0,0,0,0,0,0,0,0
22,169,1,243,10,1,10,0,0,0,0,0,0,0,0,0,0,0
2123,17536,1,89,16,1,16,0,0,0,0,1,1,0,0,0,0,1
214,1837,1,218,22,1,22,0,0,0,1,0,0,0,0,0,0,0
3612,29971,1,271,12,2,18,0,0,0,0,0,5,0,0,0,0,1
1073,8976,1,324,2,3,18,0,0,0,0,1,0,0,0,0,0,0
1499,12452,0,285,16,2,22,0,0,0,0,0,0,2,0,0,0,0
162,1352,1,169,16,4,34,1,0,0,0,0,0,3,0,0,0,0
2282,18707,1,292,12,1,12,0,0,0,0,0,0,0,0,0,0,0
1354,11295,1,135,8,4,22,0,0,2,0,0,1,0,0,0,0,0
376,3308,1,246,10,8,32,3,0,0,1,1,1,0,0,0,0,0
1284,10779,1,108,14,1,14,0,0,1,0,0,0,0,0,0,0,0
1739,14324,0,423,10,10,66,1,0,3,2,0,0,1,0,0,0,0
2891,23864,1,179,14,2,18,1,0,1,0,0,0,0,0,0,0,0
3574,29670,0,305,18,1,18,0,0,0,0,0,0,0,1,0,0,0
1829,15072,1,174,14,7,34,2,0,2,1,0,0,1,0,0,0,0
1785,14728,0,256,32,2,40,0,0,1,0,0,0,0,2,0,0,0
835,6990,1,49,2,1,2,0,0,0,0,0,0,0,0,0,0,0
1263,10591,0,72,10,1,10,0,0,0,0,0,0,0,0,0,0,0
542,4919,1,262,12,11,78,0,0,4,1,1,2,2,0,0,0,0
3941,32464,1,246,10,2,14,1,0,0,0,0,0,0,0,0,0,0
2843,23542,1,374,16,6,44,1,0,2,0,1,0,3,1,0,0,0
2846,23559,1,93,22,1,22,0,0,0,0,0,0,0,0,0,0,0
3134,25897,1,212,14,4,22,2,0,0,2,0,2,0,0,0,1,1
1382,11550,0,319,22,11,50,2,1,1,4,1,1,1,0,0,0,0
3926,32351,1,324,22,2,30,1,1,0,0,0,0,0,0,0,0,0
3923,32312,1,57,24,1,24,0,0,1,0,0,1,1,0,0,0,1
909,7583,1,77,10,2,14,1,0,0,0,0,0,0,0,0,0,0
2035,16833,1,228,20,5,46,0,2,3,0,0,0,0,0,0,0,0
2493,20556,1,25,12,1,12,0,0,0,0,0,0,0,0,0,0,0
3815,31511,1,188,12,3,28,1,0,1,0,0,0,0,0,0,0,0
1871,15432,0,190,26,2,28,0,0,0,1,0,2,1,1,0,0,0
3920,32296,1,112,12,2,20,0,1,0,0,0,0,0,0,0,0,0
96,795,1,453,14,12,82,1,1,3,1,3,0,3,1,1,0,0
1479,12298,1,224,10,6,36,2,0,1,1,0,1,0,0,0,0,0
965,7953,0,225,14,4,34,0,1,1,1,0,1,0,0,0,0,0
2361,19362,1,67,12,2,18,0,0,0,0,1,0,0,0,0,0,0
29,225,1,172,16,1,16,0,0,0,0,1,0,0,0,0,0,0
2139,17676,0,232,14,2,18,1,0,0,0,1,0,1,0,0,0,0
3918,32284,1,260,10,8,48,1,2,1,0,1,0,0,0,0,0,1
3938,32432,1,335,30,4,50,1,0,2,0,0,1,1,0,0,0,0
872,7267,0,359,2,4,14,1,0,0,0,0,0,0,0,0,0,0
2734,22647,1,306,34,2,38,1,1,0,0,0,1,0,0,0,0,0
856,7122,0,364,10,5,24,1,0,1,0,0,0,1,0,0,0,1
394,3554,0,232,8,1,8,0,0,0,0,0,0,0,0,0,0,0
534,4821,1,423,4,9,56,2,0,2,1,1,0,0,0,0,0,0
1463,12149,0,267,10,9,34,2,0,2,1,1,0,2,0,0,0,1
2074,17165,1,88,22,1,22,1,0,0,0,0,0,0,0,0,0,0
1453,12042,1,152,16,2,22,1,0,1,0,0,0,0,0,0,0,0
3866,31906,0,241,2,12,66,1,0,3,2,1,0,0,0,0,0,0
3561,29591,0,188,12,2,18,0,0,1,0,0,0,0,0,0,0,0
1103,9246,0,64,10,2,16,0,0,0,0,0,1,0,0,0,0,1
3337,27518,0,290,18,6,48,2,1,2,0,0,0,0,0,0,0,0
513,4680,1,187,14,8,38,2,1,1,1,1,1,1,0,0,0,0
2844,23550,1,266,16,2,20,0,0,0,1,0,0,0,1,0,0,0
785,6708,0,251,12,2,18,1,0,0,0,0,0,0,0,0,0,0
1877,15490,1,380,22,6,54,2,0,1,1,0,0,0,0,0,0,0
716,6223,0,411,28,8,76,1,0,3,1,1,1,1,0,0,0,0
1602,13292,1,222,28,7,60,2,1,1,1,1,0,1,0,0,0,0
2066,17108,1,97,14,1,14,0,0,0,0,0,0,1,0,0,0,0
349,3055,0,248,16,8,38,3,0,2,1,0,1,1,0,0,0,1
3313,27307,1,387,8,7,26,0,2,3,0,0,0,2,0,0,0,0
1057,8744,1,221,14,2,22,0,0,1,0,0,1,0,0,0,0,0
2472,20334,1,198,14,1,14,1,0,0,0,0,0,0,0,0,0,0
888,7408,1,264,2,1,2,0,0,0,0,0,0,0,0,0,0,0
2612,21685,1,143,30,1,30,1,0,0,0,0,0,0,0,0,0,1
375,3293,0,74,4,2,6,0,0,0,0,0,0,0,0,0,0,0
2057,17017,1,320,10,2,16,0,1,0,0,0,0,0,0,0,0,0
1307,10918,0,338,6,8,54,1,2,2,1,0,1,0,1,0,0,0
1040,8568,1,281,6,2,12,0,0,0,0,0,0,0,0,0,0,0
365,3155,1,424,10,11,64,0,4,2,1,0,1,2,0,0,0,0
268,2339,0,329,16,5,36,2,0,1,1,0,1,0,0,0,0,0
2874,23704,1,83,14,2,16,1,0,0,0,0,1,0,0,0,0,0
107,915,1,308,16,1,16,0,0,1,0,0,0,0,0,0,0,0
1773,14597,1,284,32,9,68,1,0,1,3,0,2,0,2,1,0,0
120,1048,1,189,12,1,12,0,0,0,0,0,0,0,0,0,0,0
3752,31158,0,227,18,1,18,0,0,1,0,0,0,2,0,0,0,0
2444,20071,0,284,14,2,22,1,0,1,0,0,1,0,0,0,0,0
3301,27257,1,450,2,12,32,3,1,1,0,1,0,1,0,1,0,0
1262,10583,1,159,10,2,14,0,0,0,0,1,0,0,0,0,0,1
347,3048,0,304,20,2,22,0,0,2,0,0,0,0,0,0,0,0
1042,8590,1,100,14,2,22,1,0,0,0,0,0,0,0,0,0,0
1019,8413,1,140,8,1,8,0,0,0,0,0,0,0,0,0,0,0
374,3270,1,223,10,6,24,0,0,2,1,1,0,0,0,0,0,0
565,5115,1,394,14,8,48,3,1,1,0,1,1,1,0,0,0,0
2662,22069,1,295,14,1,14,0,0,1,0,0,0,2,0,0,0,0
3657,30384,0,100,6,1,6,0,0,0,0,0,1,0,0,0,0,0
164,1357,0,222,16,2,20,0,1,1,0,0,0,0,1,0,0,0
1623,13466,0,212,4,11,58,4,0,1,0,0,0,1,0,0,0,0
2801,23211,0,112,8,1,8,0,0,0,0,0,0,0,0,0,0,0
2564,21161,1,284,14,2,22,0,0,0,1,0,0,0,1,0,0,0
3177,26204,1,199,4,9,42,1,1,2,3,0,0,0,0,0,0,0
668,5907,0,160,24,10,50,2,0,1,2,1,1,3,0,0,0,0
1487,12361,1,192,14,1,14,0,0,0,0,0,1,0,0,0,0,1
355,3073,1,277,14,2,20,1,0,1,0,0,0,0,1,0,0,0
3031,25095,0,218,14,10,44,1,1,3,1,1,0,0,0,2,0,0
1678,13855,0,244,8,2,14,0,0,0,1,0,0,0,0,0,0,0
3604,29912,0,109,4,2,8,0,0,0,0,0,1,0,0,0,0,0
3633,30160,1,308,14,1,14,0,0,0,1,0,0,0,0,0,0,0
2004,16619,1,64,10,1,10,0,0,0,0,0,0,0,0,0,0,0
116,1002,0,196,2,2,6,0,0,0,0,0,0,0,0,0,0,0
3605,29922,1,146,30,1,30,0,0,0,0,0,0,0,0,0,0,0
568,5148,1,199,16,4,30,2,1,0,0,0,0,1,0,0,0,0
3229,26590,1,191,16,9,50,3,1,0,0,0,1,1,0,0,0,0
1191,9969,1,76,6,2,12,0,0,0,0,0,0,0,0,0,0,0
1298,10845,1,291,14,1,14,1,0,0,0,0,0,0,0,0,0,0
3580,29717,1,166,10,4,32,0,1,1,1,0,0,0,0,0,0,0
1123,9464,0,264,10,12,58,1,1,4,0,0,1,3,2,0,0,1
3041,25192,1,257,10,2,12,0,0,0,0,0,0,0,1,0,0,0
2270,18652,1,215,4,1,4,0,0,0,0,0,0,0,0,0,0,1
2393,19601,1,381,8,8,26,2,0,1,1,1,0,1,0,0,0,0
2512,20641,1,270,16,1,16,0,1,0,0,0,0,0,0,0,0,0
461,4137,0,153,36,2,42,0,1,1,0,0,0,0,0,0,0,0
2658,22036,1,124,16,8,46,2,1,3,1,1,0,0,0,0,0,0
2943,24339,1,263,4,2,12,0,0,0,0,0,1,0,0,0,0,1
1289,10806,1,415,12,9,60,1,0,2,2,1,2,0,0,0,0,0
1474,12258,1,171,16,2,18,1,0,0,0,1,0,0,0,0,0,0
864,7211,1,336,2,10,24,2,0,0,0,0,1,3,0,0,0,1
2924,24132,0,90,24,2,28,1,0,0,0,0,0,0,0,0,0,0
2895,23882,0,309,10,12,80,3,1,3,1,1,0,0,0,0,0,0
3299,27225,1,170,14,10,50,2,0,2,2,1,0,0,0,0,0,0
809,6845,1,180,14,2,20,0,1,0,0,0,0,0,0,0,0,0
1858,15336,0,243,6,2,14,0,0,0,1,0,0,0,0,0,0,0
2442,20056,1,127,4,1,4,0,0,0,0,0,1,0,0,0,0,0
1269,10654,0,207,4,11,60,1,1,3,1,2,0,0,1,2,0,0
2450,20106,0,214,14,1,14,0,0,0,1,0,3,0,0,0,0,0
1434,11937,1,140,6,1,6,0,0,0,0,0,0,0,0,0,0,0
1509,12559,1,356,12,9,62,1,1,2,1,0,1,0,0,0,0,0
742,6391,1,56,8,1,8,0,0,0,0,0,0,0,0,0,0,0
1569,12995,1,21,2,1,2,0,0,0,0,0,3,0,0,0,0,0
997,8235,1,226,32,7,58,2,1,0,1,0,2,1,0,0,1,0
646,5783,1,218,10,2,18,0,0,1,0,0,0,0,0,0,0,0
267,2324,1,232,10,1,10,0,0,0,0,0,0,0,0,0,0,0
3688,30614,1,221,10,5,28,1,0,1,0,0,0,0,0,0,0,0
342,3016,1,269,32,1,32,0,1,0,0,0,0,0,0,0,0,0
2136,17660,1,325,14,11,74,5,0,2,2,0,0,0,0,0,0,0
289,2532,1,146,14,2,18,0,1,1,0,0,0,0,0,0,0,0
2305,18961,1,445,12,12,56,3,1,5,0,0,0,0,0,0,1,0
292,2591,0,326,22,4,38,2,0,0,1,0,0,1,0,0,0,0
1214,10183,1,99,4,1,4,0,0,0,0,0,0,0,0,0,0,0
295,2604,1,44,16,2,18,0,0,1,0,1,0,0,0,0,0,0
1909,15803,1,285,28,1,28,0,0,0,0,0,0,0,0,0,0,0
1778,14636,1,246,10,4,28,0,0,0,0,1,0,1,0,0,0,0
2776,22979,1,192,14,5,28,2,0,1,1,0,0,0,0,0,0,0
3421,28332,1,150,36,2,40,0,1,1,0,0,0,0,0,0,0,0
670,5912,1,399,14,8,48,0,0,2,0,1,2,3,1,1,1,1
2414,19834,0,130,10,3,24,0,0,1,0,0,2,0,1,0,0,0
2090,17285,1,146,6,5,30,0,0,2,0,0,0,0,0,0,0,0
189,1554,1,128,32,5,48,1,0,1,0,0,0,3,0,0,0,0
1621,13426,0,86,8,1,8,0,0,0,0,0,0,0,0,0,0,0
826,6940,1,65,12,2,14,1,0,0,0,0,0,0,0,0,0,0
1553,12875,1,310,2,1,2,0,0,0,0,0,0,0,0,0,0,0
722,6257,0,330,4,4,14,0,1,0,0,0,0,0,0,0,0,0
1151,9688,1,293,16,1,16,0,0,0,0,0,1,0,0,0,0,0
2441,20053,1,148,10,1,10,0,0,0,0,0,1,0,0,0,0,0
1916,15868,1,202,30,1,30,0,0,0,0,0,1,0,0,0,0,0
2238,18428,1,135,6,9,34,0,1,4,1,0,1,1,0,0,0,0
2121,17519,0,89,6,1,6,0,0,0,0,0,0,0,0,0,0,1
3536,29379,1,416,6,8,24,4,0,0,0,3,1,1,0,0,1,0
1852,15243,1,197,12,2,16,1,0,0,0,0,0,1,2,0,0,0
1375,11491,1,216,16,2,18,1,0,0,0,0,0,1,0,0,0,0
3268,26910,1,139,32,3,42,1,0,1,0,1,0,0,0,0,0,0
959,7921,1,190,6,6,42,0,1,0,0,0,0,1,0,0,0,0
2553,21059,1,89,24,2,30,0,1,1,0,0,0,0,0,0,0,0
243,2121,1,340,12,6,30,2,1,1,0,0,0,1,0,0,0,0
1505,12529,1,125,6,5,20,0,0,0,1,0,0,0,0,0,0,0
617,5582,0,29,10,1,10,0,0,0,0,0,0,0,0,0,0,0
181,1518,0,327,16,2,24,0,0,0,1,0,0,1,0,0,0,0
410,3673,1,100,14,1,14,0,0,0,0,1,0,0,0,0,0,0
2479,20395,0,222,14,2,22,1,0,1,0,0,0,1,0,0,0,0
422,3739,1,43,2,2,4,0,0,0,0,0,0,0,0,0,0,1
3973,32732,1,130,14,1,14,0,0,1,0,0,0,1,0,0,0,0
1145,9650,1,50,8,2,12,0,0,0,0,0,0,0,0,0,0,0
1228,10278,1,184,4,1,4,0,0,0,0,0,0,0,0,0,0,0
930,7726,0,151,16,2,22,0,0,1,0,1,0,0,0,0,0,0
764,6588,1,191,14,2,20,1,0,0,0,1,0,0,0,0,0,0
3352,27654,1,64,18,3,34,1,0,2,0,0,0,0,0,0,0,0
871,7265,1,431,8,10,60,2,1,3,0,0,0,1,0,0,0,0
1635,13568,1,128,10,3,22,0,0,1,0,0,1,0,0,0,0,0
2438,20044,1,267,12,6,42,1,0,1,1,1,2,0,0,0,0,0
2631,21848,1,253,12,2,16,1,0,0,0,0,0,0,0,0,0,0
285,2506,1,347,10,6,28,2,0,1,1,0,0,0,1,0,0,0
3593,29818,1,36,14,2,22,1,0,0,0,0,0,0,1,0,0,0
2848,23567,1,98,2,1,2,0,0,0,0,0,0,0,0,0,0,0
2489,20495,0,372,8,5,32,0,1,1,1,0,1,1,0,0,0,0
3570,29637,1,231,26,6,42,1,0,1,1,0,1,1,0,0,1,0
3248,26734,1,287,2,2,8,0,0,0,0,0,0,0,0,0,0,0
3280,27043,1,191,4,1,4,0,0,0,0,0,0,1,0,0,0,0
3109,25680,1,79,16,5,44,2,1,1,0,1,0,0,1,0,0,0
2957,24451,1,239,36,1,36,0,0,0,0,1,1,2,0,0,1,0
1129,9535,1,123,32,2,40,0,1,0,0,1,0,0,0,0,0,0
1365,11406,0,397,10,9,50,0,1,2,0,0,3,2,0,0,0,1
2526,20820,0,37,10,2,12,0,0,0,0,0,1,0,0,0,0,0
157,1313,1,100,12,4,32,0,0,0,2,1,0,0,0,0,0,0
1417,11811,0,281,16,11,40,0,1,2,3,2,2,1,0,0,0,0
1450,12020,1,218,2,11,26,2,1,1,1,0,0,0,0,0,0,0
3292,27154,1,146,16,7,36,2,0,1,2,1,0,0,0,0,0,0
2783,23039,1,196,30,6,60,1,1,1,0,1,0,0,0,0,0,1
1213,10182,0,223,12,11,72,1,1,2,2,1,2,1,0,0,0,0
2502,20598,1,217,14,1,14,1,0,0,0,0,1,0,0,0,0,0
601,5442,1,228,14,9,36,0,1,4,1,0,1,2,1,0,0,0
3811,31464,1,367,24,5,42,1,1,1,0,0,0,3,0,0,0,0
1738,14309,0,323,12,5,32,0,0,0,1,0,0,1,1,0,0,0
3025,25018,0,34,12,1,12,0,0,0,0,0,0,0,0,0,0,0
496,4508,1,55,12,1,12,0,0,0,0,0,0,0,0,0,0,0
3499,29037,0,189,10,7,48,0,0,3,0,1,1,0,0,0,0,0
3794,31366,1,231,24,2,30,0,0,0,0,2,0,0,0,0,0,0
2787,23069,1,298,10,1,10,0,0,0,0,0,0,2,0,0,0,0
1790,14791,1,241,10,1,10,0,0,0,0,0,0,0,0,0,0,0
3708,30810,0,221,4,2,8,0,0,0,0,0,0,0,0,0,0,0
2954,24424,1,151,16,1,16,0,0,1,0,0,0,0,0,0,0,0
2481,20418,1,397,22,10,72,5,1,2,0,0,0,0,1,0,0,0
3326,27406,1,355,16,5,32,0,1,2,1,1,0,1,0,0,0,0
2290,18755,1,62,6,2,14,0,0,1,0,0,0,0,0,0,0,0
956,7899,1,67,14,1,14,0,0,0,0,0,1,0,0,0,0,0
729,6299,0,276,22,4,40,1,0,3,0,0,0,0,0,0,0,0
2939,24304,0,249,32,2,40,0,0,1,0,1,0,1,0,0,0,0
2627,21814,0,287,8,1,8,0,0,0,0,0,1,2,1,0,0,0
2341,19237,1,187,14,2,18,0,1,1,0,0,0,1,0,0,0,0
232,2062,0,363,14,7,42,1,2,1,1,1,0,1,0,0,0,0
3843,31712,0,236,8,9,28,2,1,1,1,0,3,0,2,0,0,0
1397,11635,1,156,14,6,32,2,0,1,1,2,0,0,0,0,0,0
3713,30877,1,59,8,1,8,0,0,0,0,0,1,0,0,0,0,0
1672,13828,1,278,4,2,12,0,0,0,0,0,0,1,0,0,0,0
1113,9326,0,227,10,1,10,0,0,0,0,0,0,0,0,0,0,0
753,6485,1,263,2,1,2,0,0,0,0,0,0,0,0,0,0,0
973,8005,1,231,12,2,14,0,0,1,0,0,0,0,0,0,0,0
2169,17922,0,432,16,10,64,1,1,2,1,0,0,0,0,0,0,0
3341,27555,0,395,34,10,56,4,0,1,0,1,0,0,0,0,0,0
1645,13644,1,192,8,1,8,0,0,0,0,0,0,0,0,0,0,0
456,4105,1,149,2,5,26,0,1,0,0,0,2,0,0,0,1,1
3641,30226,1,73,8,2,16,1,0,0,0,0,1,0,0,0,0,0
3080,25482,1,379,10,7,34,0,0,1,0,1,2,3,0,1,0,0
3798,31386,1,126,20,1,20,0,0,0,1,0,0,0,0,0,0,0
1168,9809,0,251,8,6,36,2,0,0,1,1,1,0,0,0,0,0
2079,17200,0,366,32,10,88,4,1,2,1,0,0,1,0,0,1,0
3288,27115,1,125,4,1,4,0,0,0,0,0,1,0,0,0,0,0
936,7745,1,41,18,2,20,0,1,0,0,0,1,0,0,0,0,0
